Fight_URL,Fighter_1,Fighter_2,Winner,Weight_Class,Method,End_Round,End_Time,Total_Fight_Time_Sec,Time_Format,F1_KD,F2_KD,F1_Sig_Landed,F1_Sig_Att,F2_Sig_Landed,F2_Sig_Att,F1_TD_Landed,F2_TD_Landed,F1_TD_Att,F2_TD_Att,F1_Sub_Att,F2_Sub_Att,F1_Ctrl_Sec,F2_Ctrl_Sec,F1_Head,F2_Head,F1_Body,F2_Body,F1_Leg,F2_Leg,F1_Distance,F2_Distance,F1_Clinch,F2_Clinch,F1_Ground,F2_Ground,Event_Date
wiki:2026-08-22:anthony_hernandez-gregory_rodrigues,Gregory Rodrigues,Anthony Hernandez,Gregory Rodrigues,Middleweight Bout,Decision - Unanimous,5,5:00,1500,5 Rnd (5-5-5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:serghei_spivac-vitor_petrino,Vitor Petrino,Serghei Spivac,Vitor Petrino,Heavyweight Bout,Decision - Unanimous,3,5:00,900,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:reinier_de_ridder-roman_dolidze,Reinier de Ridder,Roman Dolidze,Reinier de Ridder,Light Heavyweight Bout,KO/TKO,1,4:01,241,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:marquel_mederos-mason_jones,MarQuel Mederos,Mason Jones,MarQuel Mederos,Lightweight Bout,KO/TKO,2,2:07,427,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:carli_judice-jeisla_chaves,Carli Judice,Jeisla Chaves,Carli Judice,Women's Flyweight Bout,KO/TKO,1,1:39,99,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:anthony_wint-terrance_chatman,Anthony Wint,Terrance Chatman,Anthony Wint,Heavyweight Bout,Submission,1,4:29,269,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:jamall_emmers-lerryan_douglas,Jamall Emmers,Lerryan Douglas,Jamall Emmers,Featherweight Bout,KO/TKO,1,3:38,218,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:kennedy_nzechukwu-shamil_gaziev,Shamil Gaziev,Kennedy Nzechukwu,Shamil Gaziev,Heavyweight Bout,KO/TKO,1,1:20,80,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:chris_padilla-nasrat_haqparast,Chris Padilla,Nasrat Haqparast,Chris Padilla,Lightweight Bout,Submission,3,4:59,899,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:marcio_barbosa-ryan_kuse,Márcio Barbosa,Ryan Kuse,Márcio Barbosa,Featherweight Bout,KO/TKO,1,2:47,167,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
wiki:2026-08-22:gauge_young-stanley_dorsainvil,Stanley Dorsainvil,Gauge Young,Stanley Dorsainvil,Lightweight Bout,Decision - Unanimous,3,5:00,900,3 Rnd (5-5-5),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-22
